site,date,pm10,pm25
Traralgon,2019-10-04,17.59,8.18
Traralgon,2019-10-05,13.56,4.72
Traralgon,2019-10-06,21.07,5.97
Traralgon,2019-10-07,11.02,4.57
Traralgon,2019-10-08,12.64,5.08
Traralgon,2019-10-09,14.6,6.2
Traralgon,2019-10-10,11.83,6.1
Traralgon,2019-10-11,12.77,2.96
Traralgon,2019-10-12,10.6,3.88
Traralgon,2019-10-13,9.06,4.28
Traralgon,2019-10-14,16.95,5.97
Traralgon,2019-10-16,14.94,6.52
Traralgon,2019-10-17,8.65,5.55
Traralgon,2019-10-18,15.42,4.77
Traralgon,2019-10-19,14.42,6.37
Traralgon,2019-10-20,15.16,7.25
Traralgon,2019-10-21,11.99,5.66
Traralgon,2019-10-22,13.31,6.52
Traralgon,2019-10-23,16.39,6.29
Traralgon,2019-10-24,23.1,9.01
Traralgon,2019-10-25,35.62,11.15
Traralgon,2019-10-26,12.65,6.37
Traralgon,2019-10-27,11.17,7.74
Traralgon,2019-10-28,12.14,4.78
Traralgon,2019-10-29,18.33,6.1
Traralgon,2019-10-30,29.83,10.55
Traralgon,2019-10-31,36.08,12.25
Traralgon,2019-11-01,39.6,12.82
Traralgon,2019-11-02,26.52,14.38
Traralgon,2019-11-03,8.65,4.72
Traralgon,2019-11-04,7.9,3.15
Traralgon,2019-11-05,9.62,4.04
Traralgon,2019-11-06,18.75,8.91
Traralgon,2019-11-07,19.6,13.69
Traralgon,2019-11-08,10.9,6.56
Traralgon,2019-11-09,15.49,10.39
Traralgon,2019-11-10,9.73,6.7
Traralgon,2019-11-11,10.62,4.97
Traralgon,2019-11-12,22.43,7.17
Traralgon,2019-11-13,13.9,7.75
Traralgon,2019-11-14,11.71,3.08
Traralgon,2019-11-15,16.38,4.17
Traralgon,2019-11-16,17.85,7.01
Traralgon,2019-11-17,13.11,4.87
Traralgon,2019-11-18,18.48,6.4
Traralgon,2019-11-19,25.37,4.33
Traralgon,2019-11-20,26.72,6.65
Traralgon,2019-11-21,77.98,15.94
Traralgon,2019-11-22,17.93,4.85
Traralgon,2019-11-23,27.98,6.43
Traralgon,2019-11-24,23.25,9.78
Traralgon,2019-11-25,25.47,4.82
Traralgon,2019-11-26,42.7,29.77
Traralgon,2019-11-27,27.73,7.58
Traralgon,2019-11-28,28.87,7.61
Traralgon,2019-11-29,15.69,5.39
Traralgon,2019-12-02,11.2,4.45
Traralgon,2019-12-03,12.59,3.76
Traralgon,2019-12-04,10.78,5.05
Traralgon,2019-12-05,15.39,5.48
Traralgon,2019-12-06,20.42,6.36
Traralgon,2019-12-07,25.12,10.11
Traralgon,2019-12-08,14.14,5.83
Traralgon,2019-12-09,25.25,7.41
Traralgon,2019-12-10,13.38,5.24
Traralgon,2019-12-11,29.15,8.7
Traralgon,2019-12-12,20.58,4.96
Traralgon,2019-12-13,19.81,6.86
Traralgon,2019-12-14,7.34,4.43
Traralgon,2019-12-15,12.04,4.68
Traralgon,2019-12-16,12.05,3.75
Traralgon,2019-12-17,24.11,8.6
Traralgon,2019-12-18,35.25,15.55
Traralgon,2019-12-19,23.52,7.71
Traralgon,2019-12-20,59.29,34.4
Traralgon,2019-12-21,35.87,14.05
Traralgon,2019-12-22,29.37,10.89
Traralgon,2019-12-23,56.99,18.46
Traralgon,2019-12-24,21.18,8.43
Traralgon,2019-12-25,19.45,9.5
Traralgon,2019-12-26,20.97,11.82
Traralgon,2019-12-27,22.89,11.72
Traralgon,2019-12-28,31.7,16.37
Traralgon,2019-12-29,27.93,13.02
Traralgon,2019-12-30,48.54,13.47
Traralgon,2019-12-31,20.91,9.81
