week_index,week_label,week_start_2019_20,diagnosis,2017-18,2017-18(x),2018-19,2019-20,asr_change_vs_2018_19,pct_change_vs_2018_19
16,15-21 December,2019-12-15,Acute myocardial infarction,1.92,,2.51,2.46,-0.05,-2.0
16,15-21 December,2019-12-15,Asthma,5.87,,4.85,7.27,2.42,49.9
16,15-21 December,2019-12-15,COPD with acute exacerbation,0.95,,1.6,1.87,0.27,16.9
16,15-21 December,2019-12-15,Cardiovascular diseases,15.26,,14.22,13.78,-0.44,-3.1
16,15-21 December,2019-12-15,Cerebrovascular diseases,,1.56,2.76,2.7,-0.06,-2.2
16,15-21 December,2019-12-15,Chest pain,24.86,,28.12,25.86,-2.26,-8.0
16,15-21 December,2019-12-15,Dehydration,2.59,,1.63,2.63,1.0,61.3
16,15-21 December,2019-12-15,Diseases of the respiratory system,44.07,,42.22,51.48,9.26,21.9
16,15-21 December,2019-12-15,Mental and behavioural disorders,24.0,,27.13,25.09,-2.04,-7.5
17,22-28 December,2019-12-22,Abnormalities of breathing,7.8,,8.28,7.81,-0.47,-5.7
17,22-28 December,2019-12-22,Acute myocardial infarction,1.8,,2.23,2.32,0.09,4.0
17,22-28 December,2019-12-22,Asthma,6.09,,6.13,6.26,0.13,2.1
17,22-28 December,2019-12-22,COPD with acute exacerbation,1.12,,1.75,2.1,0.35,20.0
17,22-28 December,2019-12-22,Cardiovascular diseases,15.15,,12.74,12.35,-0.39,-3.1
17,22-28 December,2019-12-22,Cerebrovascular diseases,,1.36,2.74,2.97,0.23,8.4
17,22-28 December,2019-12-22,Chest pain,22.78,,22.84,24.29,1.45,6.3
17,22-28 December,2019-12-22,Dehydration,2.0,,1.92,2.0,0.08,4.2
17,22-28 December,2019-12-22,Diseases of the respiratory system,54.87,,55.38,59.97,4.59,8.3
17,22-28 December,2019-12-22,Mental and behavioural disorders,24.78,,24.37,24.58,0.21,0.9
18,29 December-4 January,2019-12-29,Abnormalities of breathing,6.73,,7.43,8.69,1.26,17.0
18,29 December-4 January,2019-12-29,Acute myocardial infarction,2.2,,2.5,2.69,0.19,7.6
18,29 December-4 January,2019-12-29,Asthma,4.98,,4.37,6.87,2.5,57.2
18,29 December-4 January,2019-12-29,COPD with acute exacerbation,1.01,,1.85,2.48,0.63,34.1
