latitude,longitude,fire_count,total_frp,avg_confidence
-27,152.5,52,2603.4,74.1
-19.5,123.5,52,5249.6,83.3
-18.5,126,52,2683.9,87.0
-23.5,128.5,52,3828.3,80.0
-19.5,138.5,52,1851.8,81.8
-26,129.5,51,11501.3,87.1
-27.5,129.5,51,2606.1,81.9
-13.5,142.5,51,1475.8,76.6
-20.5,144,51,2736.5,84.7
-31,146.5,50,1574.1,72.1
-15.5,134,50,2385.1,76.0
-22.5,117.5,50,2965.2,78.8
-19.5,139.5,50,1642.0,83.0
-24,113.5,50,5033.6,79.0
-30.5,120,50,4206.7,81.0
-14.5,144.5,49,1793.5,73.4
-23,119.5,49,5193.2,83.9
-21.5,127,49,6453.8,87.1
-34,122,49,24799.3,92.1
-31,149.5,49,4154.1,87.9
-27.5,148.5,48,4707.8,84.1
-22,117.5,48,3536.1,82.0
-19,142,48,2377.7,78.5
-29.5,128.5,48,3014.3,83.8
-25.5,128.5,48,4630.5,85.5
-21.5,148.5,47,2391.3,77.8
-14.5,132.5,47,3773.9,78.2
-28,126.5,47,5446.0,83.2
-32,135.5,47,4651.2,90.4
-20.5,134.5,47,2970.9,81.0
-32.5,147,46,1221.2,71.7
-21,118.5,46,1898.9,75.5
-22,149,46,2142.0,76.4
-18,124,46,3660.3,87.3
-31,150.5,46,1347.5,82.1
-29,148,45,1753.8,78.2
-25.5,148.5,45,4343.3,78.0
-31,116,45,6983.5,83.1
-26,128.5,45,3215.3,83.1
-20.5,148.5,45,3890.3,75.9
-15.5,136.5,45,2943.6,81.6
-32.5,152,45,2323.0,80.0
-16.5,126,45,2324.8,79.8
-21.5,119,44,4102.9,88.5
-35,117.5,44,16623.4,88.9
-23.5,150.5,44,2270.9,75.4
-14.5,141.5,44,2466.8,78.0
-33.5,116,44,2346.1,76.8
-20.5,148,44,1977.8,74.7
-26,151.5,44,1682.1,81.5
-20,122,44,5176.1,87.3
-36.5,147,44,1046.4,71.0
-18.5,123.5,44,3547.6,82.5
-24.5,127.5,44,3796.9,86.2
-22.5,149.5,43,1210.3,74.0
-28,123,43,7277.3,84.6
-19.5,145.5,43,1732.5,73.4
-18,127,43,2971.6,81.8
-17,129.5,43,3540.3,82.5
-20,140,43,2291.3,81.4
-13.5,133.5,43,2439.5,75.9
-14,134,42,3688.2,82.0
-27,152,42,2493.9,81.3
-17,122.5,42,4504.7,82.7
-29.5,149.5,42,4018.3,84.7
-21.5,118.5,42,1901.5,83.5
-17,142,42,3928.8,80.4
-21.5,120.5,41,3180.0,83.8
-16,126,41,2246.4,77.6
-30.5,124,41,15116.4,87.7
-22,140.5,41,2540.0,80.0
-35.5,137.5,41,10343.6,95.9
-26,152.5,40,1160.1,73.3
-26.5,152,40,1477.9,71.8
-28,130.5,40,4871.2,85.7
-17.5,127,40,1526.3,81.7
-15,132.5,40,1570.6,79.9
-22,119,40,2594.3,85.6
-27,126.5,39,2291.8,81.0
-24.5,145.5,39,1337.0,81.3
-21.5,125.5,39,6324.5,84.5
-27,130,39,4656.4,84.8
-23.5,119,39,3840.9,83.6
-25.5,131,39,2886.7,80.2
-29.5,125,39,4117.9,86.7
-36,137.5,39,6031.9,82.7
-26,127,38,3796.2,90.4
-18,123,38,1500.3,80.8
-28.5,125,38,3666.7,85.0
-21,117.5,38,2959.5,83.0
-25.5,130.5,38,4651.2,84.9
-27.5,131,38,1994.2,77.2
-18.5,145,38,9580.9,83.1
-16.5,133.5,37,3445.1,82.0
-17.5,123,37,2241.8,83.1
-24,118.5,37,1475.1,85.2
-25,128,37,4218.2,82.1
-35,148,36,2405.6,82.6
-31.5,119.5,36,3859.7,81.5
-40,148,36,3847.8,85.1
-33,122.5,36,13833.1,90.6
-16,130.5,35,1114.3,73.5
-34,116,35,2212.8,78.9
-16,127.5,35,5111.6,78.7
-18,125.5,35,3081.1,82.5
-22,147,35,4158.1,87.4
-32,123.5,35,4400.2,89.9
-32,116,34,1572.6,70.1
-16.5,125.5,34,1552.1,78.4
-25.5,146.5,34,1516.2,81.1
-28,130,34,2817.2,83.2
-15,134,33,890.1,79.8
-11,142,33,1743.3,82.3
-20,146,33,1710.2,81.4
-34,149.5,33,3905.1,84.6
-29,124.5,33,3046.7,85.8
-25.5,127,32,6502.0,83.4
-28.5,122,32,4404.9,86.2
-13,134,32,1542.6,76.5
